Stock_code,Sector,Name,volatility_mean,volatility_max,volatility_5d,downside_deviation,var_95,max_drawdown,mean_return,std_return,return_skew,return_kurtosis,return_consistency,sharpe_ratio,rsi_mean,bb_width_mean,macd_volatility,avg_volume,volume_volatility,amihud_illiquidity,trading_frequency,momentum_20d,momentum_60d,trend_strength,current_price
LKL,Commercial and Services,Longhorn Publishers Plc,0.03577919573479246,0.06058644515717026,0.03344406917641085,0.021849842838225365,-0.06006038744959201,-0.589795918367347,-0.0001453997642194115,0.04059336438177114,0.10840968230255625,0.5291281406931132,279.1843348664679,-0.006045317192902567,48.0531993804625,4.128663778322539,0.05320219905574389,14786.568986568987,41679.78074037616,3.658179689786237e-07,0.8289473684210527,0.0,-0.061224489795918546,-0.02335456475484701,2.3
NBV,Commercial and Services,Nairobi Business Ventures Ltd,0.04604174402305404,0.0682325277116616,0.04337318207638935,0.027192237689406856,-0.07656492634572422,-0.85546875,0.000261204429258381,0.04857675665578428,0.018391578534707714,-0.4066223557905899,185.97210696807107,0.0033185506819408154,48.92875016244592,6.799894201676093,0.2651054699901538,87226.61555312158,438519.4783067592,2.0053927417296374e-07,0.9240890688259109,-0.02898550724637683,-0.014705882352941346,-0.05240826588894122,2.01
NCBA,Banking,NCBA Group Plc,0.01790743514209099,0.0423034230440557,0.01606823034838588,0.010976782148742115,-0.0274885531842207,-0.2493887530562347,0.0007871357291071163,0.019144583169392892,-0.39213930958808996,4.123412676956935,24.3218291703345,0.03589191362580683,52.28160953082977,2.8604090114621075,0.537840552800728,216784.39716312056,1850044.5745465264,6.024461378727258e-09,0.9989878542510121,0.10677382319173367,0.12880562060889922,0.0928466160297182,48.2
NMG,Commercial and Services,Nation Media Group Plc,0.02462168346368252,0.07571498782830813,0.02165733225714246,0.014730717870689483,-0.03624114615508801,-0.5498084291187739,0.00032571063486781093,0.027861504823242005,0.08839432731170653,4.28002900818907,85.54064033090448,0.00810116450958554,47.6015122764102,3.6733215210142123,0.4929607677018741,64694.558521560575,293389.3094638375,4.030889512512277e-08,0.9858299595141701,0.18518518518518512,-0.06796116504854366,0.04822565969027676,14.4
NSE,Investment Services,Nairobi Securities Exchange Plc,0.02620343910231867,0.04573531641603771,0.02507189541137017,0.015429311077253429,-0.042021893009056475,-0.46995073891625616,3.50185411753036e-05,0.02701825997786325,0.1607017196586628,1.3824850103579371,771.5393593546255,-0.0024050941340200273,48.57323258955923,2.6860802299051314,0.0851924356211446,49584.802431610944,265575.53009001573,1.2599307743634902e-07,0.9989878542510121,0.04895104895104896,-0.013157894736842146,0.030396702730029337,6.0
OCH,Investment,Olympia Capital Holdings Ltd,0.03797206501451501,0.06241194620619303,0.034566931639690525,0.02343503526985657,-0.06697555136481831,-0.5186567164179104,0.0013675233703165344,0.045519360778062075,-0.03348447712591923,0.11251500056048025,33.285981386137315,0.02784580771491925,48.17735968810595,5.362337813513168,0.0993018434803491,4459.586206896552,12892.83206332374,2.339619110008884e-07,0.7338056680161943,-0.06354515050167242,-0.01754385964912286,-0.06899418121133852,2.8
ORCH,Manufacturing and Allied,Kenya Orchards Ltd,0.0039205655417437965,0.05724910103067752,0.0023726000772217874,0.0006394852550008713,-0.0006561572730129335,-0.06976744186046512,0.04755879669334453,0.05352694651646515,-0.38394305222488195,-1.4151063734892169,1.125489922485924,0.88663373671208,7.305277166741689,1.3517608999275903,1.712758132822315,43923.80952380953,282066.812539783,0.0,0.04251012145748988,0.0,2.0501089324618738,0.08161005382285037,70.0
PORT,Construction and Allied,East African Portland Cement Ltd,0.03494056971614415,0.09553443904476831,0.02871012178626281,0.020743636160029496,-0.05526548861573949,-0.6035555555555555,0.0029364383254964353,0.05001349671466545,0.12860061942680653,-0.005916534391258388,17.032026376037546,0.056713457489433274,46.654923636107675,6.540520588189853,1.0606327593343852,2739.735099337748,6071.435766605767,0.0,0.611336032388664,-0.05990783410138234,-0.033175355450236865,-0.11562823631382008,30.6
SASN,Agricultural,Sasini Plc,0.029678301498704353,0.0512942163499529,0.027465273688790155,0.017517740480154143,-0.047366971517827434,-0.5414012738853503,0.00021026911951586564,0.03205915608818431,0.27584409700737794,1.1601683079494665,152.46718545871295,0.00343955152370811,49.61366312306192,3.5475942144910326,0.4007817442936031,21580.022701475595,344642.28053486353,1.880086809874945e-07,0.8917004048582996,0.0,-0.10447761194029848,-0.050983286760894336,15.0
SBIC,Banking,Stanbic Holdings Plc,0.021328460124779004,0.0534696146704726,0.019214683551046965,0.012592877512681292,-0.03128564358181184,-0.22736030828516376,0.0007327654936697753,0.023908834562674907,0.2017824769342062,3.5905192245592543,32.62821667559019,0.026465760569151127,53.02740391369146,2.6656476184240727,1.3135758005755678,57953.48288075561,382852.1387873203,9.317233154442455e-09,0.8572874493927125,0.06601941747572826,0.17057569296375275,0.0646412411117793,137.25
